id,degree_centrality,closeness_centrality,betweenness_centrality,dispersion_centrality,dispersion_average,dispersion_max,dispersion_min
0,0.0849673202614,0.399408284024,2781.66699134,4.0,0.307692307692,4.0,0
48,0.0457516339869,0.306818181818,0.4,0.0,0.0,0,0
49,0.0457516339869,0.306818181818,0.4,0.0,0.0,0,0
3,0.104575163399,0.364864864865,663.742821068,11.0,0.6875,11.0,0
4,0.196078431373,0.424528301887,3988.82142857,37.0,1.23333333333,20.0,0
155,0.0392156862745,0.30612244898,0.0,0.0,0.0,0,0
156,0.0392156862745,0.30612244898,0.0,0.0,0.0,0,0
154,0.0326797385621,0.305429864253,0.0,0.0,0.0,0,0
70,0.0457516339869,0.303370786517,696.658946609,4.0,0.571428571429,4.0,0
10,0.0980392156863,0.354330708661,2033.34801587,1.0,0.0666666666667,1.0,0
9,0.0718954248366,0.365853658537,1004.35353535,5.0,0.454545454545,2.0,0
31,0.0522875816993,0.339195979899,63.3166666667,0.0,0.0,0,0
1,0.0522875816993,0.3515625,1184.45238095,0.0,0.0,0,0
2,0.0130718954248,0.261121856867,0.0,0.0,0.0,0,0
44,0.0392156862745,0.266798418972,278.09047619,4.0,0.666666666667,4.0,0
164,0.0130718954248,0.262645914397,266.0,0.0,0.0,0,0
106,0.0130718954248,0.261121856867,0.0,0.0,0.0,0,0
108,0.0130718954248,0.261121856867,0.0,0.0,0.0,0,0
107,0.0130718954248,0.261121856867,0.0,0.0,0.0,0,0
33,0.0261437908497,0.31990521327,0.0,0.0,0.0,0,0
32,0.0261437908497,0.31990521327,0.0,0.0,0.0,0,0
47,0.00653594771242,0.267857142857,0.0,0.0,0.0,0,0
141,0.0196078431373,0.31914893617,0.0,0.0,0.0,0,0
51,0.0196078431373,0.31914893617,0.0,0.0,0.0,0,0
8,0.176470588235,0.362903225806,2394.73134921,22.0,0.814814814815,20.0,0
122,0.0130718954248,0.3,134.0,0.0,0.0,0,0
93,0.0326797385621,0.306818181818,466.547619048,0.0,0.0,0,0
96,0.0326797385621,0.307517084282,292.74047619,1.0,0.2,1.0,0
90,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
177,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
176,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
12,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
20,0.0130718954248,0.313225058005,0.0,0.0,0.0,0,0
38,0.0457516339869,0.34793814433,1230.52463925,4.0,0.571428571429,4.0,0
30,0.0196078431373,0.313953488372,27.2198412698,1.0,0.333333333333,1.0,0
39,0.0522875816993,0.334987593052,532.387265512,5.0,0.625,4.0,0
153,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
152,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
150,0.0196078431373,0.31914893617,0.0,0.0,0.0,0,0
149,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
148,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
142,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
136,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
134,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
5,0.0522875816993,0.264705882353,261.495238095,0.0,0.0,0,0
79,0.0196078431373,0.211930926217,14.3333333333,0.0,0.0,0,0
138,0.0196078431373,0.292207792208,259.43968254,0.0,0.0,0,0
36,0.0326797385621,0.246800731261,0.0,0.0,0.0,0,0
35,0.0718954248366,0.267326732673,574.632034632,8.0,0.727272727273,4.0,0
37,0.0326797385621,0.246800731261,0.0,0.0,0.0,0,0
6,0.0718954248366,0.29284164859,1265.6040404,0.0,0.0,0,0
111,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
110,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
118,0.0130718954248,0.2738336714,0.0,0.0,0.0,0,0
114,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
131,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
171,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
173,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
7,0.0196078431373,0.182186234818,134.0,0.0,0.0,0,0
146,0.0196078431373,0.22131147541,396.0,0.0,0.0,0,0
147,0.0130718954248,0.181940700809,0.0,0.0,0.0,0,0
175,0.00653594771242,0.154285714286,0.0,0.0,0.0,0,0
132,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
133,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
137,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
174,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
18,0.0196078431373,0.286624203822,13.3333333333,1.0,0.333333333333,1.0,0
172,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
69,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
88,0.0261437908497,0.27,396.0,0.0,0.0,0,0
99,0.0130718954248,0.267326732673,0.0,0.0,0.0,0,0
103,0.0196078431373,0.267857142857,0.0,0.0,0.0,0,0
102,0.0130718954248,0.267326732673,0.0,0.0,0.0,0,0
101,0.0130718954248,0.267326732673,0.0,0.0,0.0,0,0
105,0.0196078431373,0.267857142857,0.0,0.0,0.0,0,0
104,0.0196078431373,0.267857142857,0.0,0.0,0.0,0,0
121,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
45,0.0130718954248,0.268924302789,0.0,0.0,0.0,0,0
14,0.0130718954248,0.27,0.0,0.0,0.0,0,0
15,0.00653594771242,0.268389662028,0.0,0.0,0.0,0,0
16,0.00653594771242,0.268389662028,0.0,0.0,0.0,0,0
85,0.0130718954248,0.267326732673,0.0,0.0,0.0,0,0
84,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
87,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
86,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
71,0.0457516339869,0.340909090909,1344.80692641,1.0,0.142857142857,1.0,0
75,0.0261437908497,0.2738336714,92.5063492063,0.0,0.0,0,0
81,0.0130718954248,0.277777777778,0.0,0.0,0.0,0,0
80,0.0130718954248,0.266272189349,524.0,0.0,0.0,0,0
83,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
82,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
159,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
158,0.00653594771242,0.26213592233,0.0,0.0,0.0,0,0
21,0.0326797385621,0.343511450382,922.157936508,0.0,0.0,0,0
11,0.0457516339869,0.280082987552,1080.18737374,0.0,0.0,0,0
129,0.00653594771242,0.219155844156,0.0,0.0,0.0,0,0
13,0.0196078431373,0.213607594937,0.0,0.0,0.0,0,0
160,0.0196078431373,0.213607594937,0.0,0.0,0.0,0,0
34,0.0392156862745,0.247252747253,29.6917748918,4.0,0.666666666667,4.0,0
74,0.00653594771242,0.211267605634,0.0,0.0,0.0,0,0
157,0.00653594771242,0.211267605634,0.0,0.0,0.0,0,0
40,0.0261437908497,0.26213592233,143.25,1.0,0.25,1.0,0
53,0.0130718954248,0.252336448598,0.0,0.0,0.0,0,0
41,0.00653594771242,0.251396648045,0.0,0.0,0.0,0,0
46,0.00653594771242,0.251396648045,0.0,0.0,0.0,0,0
43,0.00653594771242,0.208012326656,0.0,0.0,0.0,0,0
42,0.0196078431373,0.287846481876,0.0,0.0,0.0,0,0
92,0.0326797385621,0.241071428571,51.0761904762,4.0,0.8,4.0,0
95,0.0196078431373,0.211598746082,0.0,0.0,0.0,0,0
94,0.0196078431373,0.211598746082,0.0,0.0,0.0,0,0
91,0.0196078431373,0.240213523132,0.0,0.0,0.0,0,0
50,0.00653594771242,0.267857142857,0.0,0.0,0.0,0,0
54,0.078431372549,0.875,0.0,0.0,0.0,0,0
58,0.078431372549,0.875,0.0,0.0,0.0,0,0
57,0.0915032679739,1.0,24.0,0.0,0.0,0,0
56,0.078431372549,0.875,0.0,0.0,0.0,0,0
55,0.078431372549,0.875,0.0,0.0,0.0,0,0
61,0.078431372549,0.875,0.0,0.0,0.0,0,0
60,0.078431372549,0.875,0.0,0.0,0.0,0,0
59,0.078431372549,0.875,0.0,0.0,0.0,0,0
65,0.078431372549,0.875,0.0,0.0,0.0,0,0
64,0.078431372549,0.875,0.0,0.0,0.0,0,0
63,0.078431372549,0.875,0.0,0.0,0.0,0,0
62,0.078431372549,0.875,0.0,0.0,0.0,0,0
66,0.078431372549,0.875,0.0,0.0,0.0,0,0
67,0.0130718954248,0.538461538462,0.0,0.0,0.0,0,0
68,0.0130718954248,0.538461538462,0.0,0.0,0.0,0,0
128,0.0130718954248,0.265225933202,0.0,0.0,0.0,0,0
76,0.00653594771242,0.209627329193,0.0,0.0,0.0,0,0
77,0.0130718954248,0.211598746082,0.0,0.0,0.0,0,0
78,0.00653594771242,0.211267605634,0.0,0.0,0.0,0,0
127,0.0196078431373,0.257633587786,184.083333333,0.0,0.0,0,0
126,0.0130718954248,0.207692307692,0.0,0.0,0.0,0,0
112,0.0261437908497,0.212598425197,399.0,0.0,0.0,0,0
89,0.0196078431373,0.213607594937,0.0,0.0,0.0,0,0
143,0.00653594771242,0.235191637631,0.0,0.0,0.0,0,0
97,0.00653594771242,0.235602094241,0.0,0.0,0.0,0,0
98,0.00653594771242,0.235602094241,0.0,0.0,0.0,0,0
100,0.00653594771242,0.266798418972,0.0,0.0,0.0,0,0
109,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
161,0.00653594771242,0.1755526658,0.0,0.0,0.0,0,0
163,0.00653594771242,0.1755526658,0.0,0.0,0.0,0,0
113,0.00653594771242,0.1755526658,0.0,0.0,0.0,0,0
115,0.00653594771242,0.226890756303,0.0,0.0,0.0,0,0
117,0.00653594771242,0.666666666667,0.0,0.0,0.0,0,0
116,0.0130718954248,1.0,1.0,0.0,0.0,0,0
120,0.0130718954248,0.208978328173,134.0,0.0,0.0,0,0
119,0.00653594771242,0.173076923077,0.0,0.0,0.0,0,0
123,0.00653594771242,0.298672566372,0.0,0.0,0.0,0,0
125,0.00653594771242,0.231164383562,0.0,0.0,0.0,0,0
135,0.00653594771242,0.268389662028,0.0,0.0,0.0,0,0
140,0.00653594771242,0.268389662028,0.0,0.0,0.0,0,0
145,0.00653594771242,0.219155844156,0.0,0.0,0.0,0,0
167,0.00653594771242,0.666666666667,0.0,0.0,0.0,0,0
